agency,bureau,count
CFTC,MPD,1
CFTC,DOD,1
CFTC,DCR,1
DHS,CBP,83
DHS,ICE,51
DHS,TSA,26
DHS,USCIS,24
DHS,FEMA,22
DHS,MGMT,10
DHS,CISA,7
DHS,OHS,4
DHS,DHS,4
DHS,USSS,3
DHS,USCG,3
DHS,CWMD,1
DOC,NOAA,157
DOC,Census,17
DOC,USPTO,15
DOC,ITA,9
DOC,NTIA,8
DOC,NIST,7
DOC,OS,6
DOC,FirstNet,2
DOC,BEA,2
DOE,PNNL - Pacific Northwest National Laboratory (SC43 OIM),40
DOE,NE INL - NE Idaho National Laboratory (NE),39
DOE,BNL - Brookhaven National Laboratory (SC43 OIM),34
DOE,EMLA - EM Los Alamos Field Site (EM),31
DOE,ORNL - Oak Ridge National Laboratory (SC43 OIM),25
DOE,SRS - ESB - Savannah River Site - Enterprise System Boundary (SRFO),21
DOE,FNAL - Fermi National Accelerator (SC43 OIM),17
DOE,NETL - National Energy Technology Laboratory (FECM),15
DOE,LANL - Los Alamos National Lab (LAFO),12
DOE,RL - Hanford - Richland Operations Office - Hanford (EM),10
DOE,LLNL - Lawrence Livermore National Laboratory (LFO),9
DOE,NR HQ - Naval Reactors (NR),8
DOE,EE HQ - EE Headquarters (EE),8
DOE,SLAC - SLAC National Accelerator Laboratory (SC43 OIM),7
DOE,NREL - National Renewable Energy Laboratory (EE),7
DOE,SRS - SRNL - Savannah River Site - Savannah River National Laboratory (EM),6
DOE,IM-50 - Architecture Engineering Technology and Innovation (IM),6
DOE,NA-IM (Enterprise) - Office of the Associate Administrator for Information Management and Chief Information Officer (HQ-Enterprise) (NNSA HQ),5
DOE,LM HQ - Office of Legacy Management (LM),5
DOE,ANL - Argonne National Laboratory (SC43 OIM),5
DOE,Y-12 - Consolidated Nuclear Security Y-12 (YFO),4
DOE,Pantex - PanTeXas Deterrence Pantex (PFO),4
DOE,PPPL - Princeton Plasma Physics Laboratory (SC43 OIM),4
DOE,KCNSC - Kansas City National Security Campus (KCFO),4
DOE,WAPA - Western Area Power Administration (PMA),3
DOE,IM-60 - IM Enterprise Operations and Shared Services (IM),2
DOE,EHSS HQ - Office of Environment Health Safety and Security (EHSS),2
DOE,SWPA - Southwestern Power Administration (PMA),1
DOE,SEPA - Southeastern Power Administration (PMA),1
DOE,PM HQ -  Office of Project Management (PM),1
DOE,PA HQ -  Office of Public Affairs (PA),1
DOE,OREM - ORCC - Oak Ridge EM - Oak Ridge Cleanup Contract (EM),1
DOE,HC HQ -  Office of the Chief Human Capital Officer (HC),1
DOE,GDO HQ - Grid Deployment Office (GDO),1
DOI,USGS,187
DOI,FWS,10
DOI,SOL,8
DOI,BOR,8
DOI,BLM,7
DOI,ONRR,6
DOI,BSEE,6
DOI,OS,3
DOI,OCIO,2
DOI,NPS,2
DOI,BTFA,2
DOI,ASIA,2
DOI,OIG,1
DOI,IBC,1
DOI,BIA,1
DOJ,Department of Justice / FBI,50
DOJ,Department of Justice / DEA,43
DOJ,Department of Justice / ATF,34
DOJ,Department of Justice / FBOP,32
DOJ,Department of Justice / USMS,19
DOJ,Department of Justice / CIV,17
DOJ,Department of Justice / TAX,14
DOJ,Department of Justice / JMD / OCDETF,10
DOJ,Department of Justice / Department Wide,10
DOJ,Department of Justice / ATR,10
DOJ,Department of Justice / OIG,9
DOJ,Department of Justice / EOUSA,8
DOJ,Department of Justice / EOIR,8
