id,agency_abbreviation,bureau,use_case_name,purpose_benefits,outputs,commercial_ai,dev_method,dev_stage,topic_area,lineage_status
34448,DOI,OCIO,DOIChatGPT AI Chatbot,"Create for DOI users a secure space to chat with a Large Language Model without leaving our security boundary.

This is a customized version of Microsofts Govchat repo deployed as an azure app service on the internal network with entra authentication, using DOIChatGPT APIM as the back end AI service provider.",See description,Searching for information using AI.,,Implementation and Assessment,Mission-Enabling (internal agency support),retired_2024
34449,DOI,OCIO,DOIChatGPT API Management Instance,"An Azure OpenAI instance secured behind an Azure API Management instance hosted within our internal network. This will create a backbone of secure access to Azure OpenAI permitted by APIM subscription keys that also supports cost tracking per project key.

This is just a service layer to enable other project activities.",Outputs were not documented and DOI will update the use cases once additional data is collected from submitter,None of the above.,Developed in-house.,Implementation and Assessment,Mission-Enabling (internal agency support),retired_2024
34450,DOI,OCIO,DOIChatGPT API Management Development Environment,This will be a public facing version of the DOIChatGPT APIM and Azure OpenAI that is used for training and proof of concept validation (with sanitized data) prior to migrating to production DOIChatGPT APIM.,Outputs were not documented and DOI will update the use cases once additional data is collected from submitter,None of the above.,Developed in-house.,Implementation and Assessment,Mission-Enabling (internal agency support),retired_2024
34451,DOI,OS - Office of the Secretary of the Interior,Cost Estimation Using EDL Database Data,"This use case aims to leverage AI/ML for estimating environmental remediation costs based on historical data within the EDL (Environmental Data Liability) database. The model would analyze archived and current records to provide estimates that aid budget planning and contractor evaluations.

Problem Being Solved: To enhance budget estimation accuracy for environmental remediation activities by comparing new sites with archived data of similar sites to estimate total cleanup costs.

Goal: The goal is to improve cost estimation accuracy, enhance contractor proposal evaluation, and aid in long-term financial planning.",Intended Use: The AI/ML tool would provide estimates to support the decision-making process for budget planning and contractor proposal assessments. This would act as a supplementary tool and not the primary decision source.,None of the above.,,Initiated,Mission-Enabling (internal agency support),retired_2024
34452,DOI,NPS,Adobe Firefly Generative Images,Adobe's Firefly generative image AI model was used within Photoshop to create artistic sketches of different nature scenes. These sketches were used in the StoryMap created by San Juan Island National Historical Park as artistic and narrative elements. The images were generated in Photoshop and then manually edited to ensure accuracy. Using this AI model created results that were quicker and cheaper compared to traditional artistic methods. The StoryMap with the sketches can be viewed here: https://arcg.is/1uCy0e,Imagery,None of the above.,Data not reported by submitter and will be updated once additional information is collected,Operation and Maintenance,Mission-Enabling (internal agency support),retired_2024
34453,DOI,OCIO,RAG knowledge base of agent procedures,"Custom AI Solutions for Internal and Customer Support
Description:    We are addressing the challenge of providing quick, accurate, and consistent responses to both internal customer service agents and external customers. Currently, agents must manually search through extensive documentation, which can lead to delays in service response times, inconsistencies in information shared, and a potential for human error. Additionally, external customers often need direct access to information on our website but must wait for human support, which impacts customer satisfaction.
 
By implementing a customized AI chatbot, we aim to streamline access to knowledge for agents, reducing their workload and improving efficiency. Additionally, a customer-facing chatbot would offer external customers instant answers to common questions, further enhancing customer experience and reducing the volume of support inquiries handled by human agents.","Streamline access to knowledge for agents, reducing their workload and improving efficiency. Additionally, a customer-facing chatbot would offer external customers instant answers to common questions, further enhancing customer experience and reducing the volume of support inquiries handled by human agents.",Searching for information using AI.,,Implementation and Assessment,Government Services (includes Benefits and Service Delivery),retired_2024
34454,DOI,NPS,Use of AI to Enhance Flash Flood Forecast Tool,"University of Illinois created a model to predict rainfall on a watershed scale in Great Smoky Mountains National Park.  They are now working with IBM to create a system that will use this model to provide forecasts of flooding events with a goal of a 24+ hour lead time.  The developers are using AI to improve on the Quantitative Precipitation Forecast of the National Weather Service to thus improve on the accuracy of their tool.  The NPS is cooperating as an end-user of the flood forecast tool, but not as a developer or direct user of the AI.",,None of the above.,Data not reported by submitter and will be updated once additional information is collected,Implementation and Assessment,Mission-Enabling (internal agency support),continued
34455,DOI,ONRR,Liable Party Research,Supervised machine learning model for scraping leasing documents for current liable party ownership.,Efficient liable party ownership.,Summarizing the key points of a lengthy report using AI.,,Implementation and Assessment,Mission-Enabling (internal agency support),continued
34456,DOI,ONRR,Data Extraction Using MS Power Automate AI Functionality,Train pre-built Machine Learning model to extract data from different document formats and convert into a consistent structured format to improve business operations.,Improved business documentation.,None of the above.,Developed in-house.,Acquisition and/or Development,Mission-Enabling,continued
34457,DOI,NPS,CESU project to detect of bird nests using deep learning to support annual colonial bird monitoring,"This work is already being accomplished via a cooperative agreement with a university (Florida International University)

The National Park Service (NPS), has been monitoring colonial nesting birds monthly via low level aerial photography from a helicopter platform in Biscayne National Park since 2010. These photographs are processed to determine the number of active nests for specific focal species: Double-crested Cormorants, Great Egrets, Great White Herons, Great Blue Herons, White Ibises, and Roseate Spoonbills. NPS now has 13 years of data which is composed of 64,350 uniquely identified nests and 57,793 birds representing.

This monitoring is time consuming and needs to be accomplished consistently and accurately. Currently, the aerial photos are processed by individuals. Which takes substantial time and effort. We propose to explore the creation of automatic script that would allow the active nest to be identified using software. The goal of this project is to explore software programs and create automatic script that can identify potential bird nests on the photograph and to highlight this area on the photograph. By developing a robust object detection model, researchers can monitor bird colonies and their populations more efficiently, e.g. by consistently identifying nests with software which will allow the tracking of nesting patterns with less person effort needed to accomplish this task. It will also help to control observer detection variation over time.",Outputs were not documented and DOI will update the use cases once additional data is collected from submitter,None of the above.,Data not reported by submitter and will be updated once additional information is collected,Implementation and Assessment,Mission-Enabling (internal agency support),renamed
