canonical_name,vendor,product_type,parent
ACCRETE ARGUS,ACCRETE AI Government,supply_chain,
AFRL Voice Recorder Transcription,Air Force Research Laboratory,transcription,
AIS Resume Screening Tool,AIS,document_ai,
APT Analytics,DOE,scientific_ml,
ARANZ Silhouette Wound Imaging,ARANZ Medical,clinical_decision_support,
ARC Travel Intelligence,Airlines Reporting Corporation,investigative_data,
ASCVD Risk Estimator,American College of Cardiology,clinical_decision_support,
ATLAS (Forest Service),USDA Forest Service,data_analytics,
ATS Passport Anomaly Model,U.S. Customs and Border Protection,nlp,
ATS Trade Entity Risk Model,U.S. Customs and Border Protection,data_analytics,
AWS Bedrock,Amazon,general_llm,Amazon Web Services
AWS Kendra,Amazon,search,Amazon Web Services
AWS Lex,Amazon,nlp,Amazon Web Services
AWS Rekognition,Amazon,computer_vision,Amazon Web Services
AWS Textract,Amazon,computer_vision,Amazon Web Services
AWS Transcribe,Amazon,nlp_specific,Amazon Web Services
AWS Translate,Amazon Web Services,translation,Amazon Web Services
Abbott OPTIS Imaging,Abbott,clinical_decision_support,
Abridge Ambient Scribe,Abridge,transcription,
Adobe,Adobe,productivity,
Adobe Creative Cloud Suite,Adobe,productivity,Adobe
Adobe Firefly,Adobe,computer_vision,Adobe Creative Cloud Suite
Adobe Photoshop,Adobe,computer_vision,Adobe Creative Cloud Suite
Adobe Premiere Pro,Adobe,media_analysis,Adobe Creative Cloud Suite
Adobe Sensei,Adobe,general_llm,Adobe Creative Cloud Suite
Advanced Trade Analytics Platform,U.S. Customs and Border Protection,data_analytics,
Agfa DR 800 MUSICA,Agfa HealthCare,clinical_decision_support,
AgileMD eCART,AgileMD,clinical_decision_support,
Aidoc BriefCase,Aidoc,clinical_decision_support,
Airship AI Platform,Airship AI Holdings Inc.,computer_vision,
Airtable AI,Airtable,productivity,
Alation Data Catalog,Alation,data_catalog,
AlphaFold,Google DeepMind,scientific_ml,
Altana Atlas,Altana,supply_chain,
Alteryx,Alteryx,ml_platform,
Amazon,Amazon,consumer_feature,
Amazon Alexa,Amazon,nlp,Amazon
Amazon CodeWhisperer,Amazon,coding_assistant,Amazon Q
Amazon Comprehend,Amazon,nlp,Amazon Web Services
Amazon Connect,Amazon Web Services,nlp,Amazon Web Services
Amazon Q,Amazon,general_llm,Amazon Web Services
Amazon SageMaker,Amazon,ml_platform,Amazon Web Services
Amazon Web Services,Amazon,cloud_platform,Amazon
Amped Software,Amped Software,forensics,
Appian AI,Appian,agent_platform,
Apple Face ID,Apple,consumer_feature,
Apple Intelligence,Apple,general_llm,
Apple Maps,Apple,consumer_feature,
Apple News,Apple,consumer_feature,
Aretec EDP,Aretec,data_analytics,
Aretec NEAT,Aretec Inc,data_analytics,
Aretec SEARCH,Aretec,search,
Articulate 360 AI Assistant,Articulate,training,
Asana,Asana,productivity,
Ask Sage,Ask Sage Inc.,general_llm,
AttackIQ,AttackIQ,security_tool,
Autonomous Surveillance Tower,Anduril,physical_security,
AveriSource,AveriSource,code_modernization,
Avicenna.AI CINA,Avicenna.AI,clinical_decision_support,
Aware Biometrics,Aware,biometrics,
Axon,Axon Enterprise,media_analysis,
Axon Evidence,Axon,forensics,
Axon FUSUS,Axon,physical_security,Axon Evidence
Azure AI Document Intelligence,Microsoft,document_ai,Microsoft Azure Platform
Azure AI Foundry,Microsoft,general_llm,Microsoft Azure Platform
Azure AI Translator,Microsoft,translation,Microsoft Azure Platform
Azure Computer Vision,Microsoft,other,
Azure Data Factory,Microsoft,data_analytics,Microsoft Azure Platform
Azure OpenAI,Microsoft,general_llm,Microsoft Azure Platform
Azure Speech,Microsoft,transcription,Microsoft Azure Platform
Azure Synapse Analytics,Microsoft,data_analytics,Microsoft Azure Platform
BD Pyxis MedStation,Becton Dickinson,clinical_decision_support,
BI SmartLINK,BI Incorporated,biometrics,
BLS Expenditure Classification Autocoder,Bureau of Labor Statistics,data_analytics,
BMC Helix ITSM,BMC,itsm,
BSEE Corrosion Classifier,Bureau of Safety and Environmental Enforcement,computer_vision,
Babel Street Babel,Babel Street,threat_intel,
Bates White Economic Consulting AI,Bates White,data_analytics,
Beckman Coulter DxH 800,Beckman Coulter,clinical_decision_support,
Benefits Manager Virtual Assistant,Benefits Manager,general_llm,
BillieGPT,U.S. Department of Veterans Affairs,nlp,
Bio-Rad BioPlex 2200,Bio-Rad Laboratories,clinical_decision_support,
BioRender,BioRender,productivity,
Biometrics Enrollment Tool,U.S. Citizenship and Immigration Services,biometrics,
Biosense Webster CARTO 3,Biosense Webster (Johnson & Johnson),clinical_decision_support,
Biotronik Home Monitoring,Biotronik,clinical_decision_support,
Bloomberg Government,Bloomberg,investigative_data,
Bloomberg Law AI,Bloomberg,legal_research,
Boston Dynamics Spot,Boston Dynamics,physical_security,
Boston Scientific Preventice BodyGuardian,Boston Scientific (Preventice),clinical_decision_support,
Brainlab Cirq Alignment,Brainlab,clinical_decision_support,
Brainlab Cranial Navigation,Brainlab,clinical_decision_support,
Brainlab Elements,Brainlab,clinical_decision_support,
Brainlab Elements Spine,Brainlab,clinical_decision_support,
BriefCatch,BriefCatch,legal_research,
Broadcom Code for Z,Broadcom,code_modernization,
Butterfly iQ Ultrasound,Butterfly Network,clinical_decision_support,
Buzzsprout CoHost AI,Buzzsprout,media_analysis,
C3 AI,C3.ai,ml_platform,
CANDA UEBA,CANDA Solutions,security_tool,
CBP Translate,U.S. Customs and Border Protection,translation,
CISAChat,DHS CISA,general_llm,
CMS AI Agent Orchestrator,CMS / Noblis,agent_platform,Skyward CEDAR/CLAW
CMS ELMO Chatbot,CMS / Peraton,general_llm,
CMS IDR Support Bot,CMS / GDIT,general_llm,CMS Integrated Data Repository Customer Analytic Environment
CMS Integrated Data Repository Customer Analytic Environment,CMS / GDIT,ml_platform,
CMS Medicare AI Customer Insights,CMS / commonFont,data_analytics,
COREII,DOE Idaho National Lab,general_llm,
CWTSatoTravel,CWTSatoTravel,productivity,
