agency,bureau_component,occurrence_count,sample_use_case_ids
NCUA,N/A,3,220311|220312|220313
FCC,Wireless Telecommunications Bureau (WTB),3,221265|221266|221268
NCUA,NCUA|ONES,3,221271|221272|221273
DOE,IM-60 - IM Enterprise Operations and Shared Services (IM),2,218126|218259
PBGC,ONR,2,221286|221290
STB,Surface Transportation Board,2,221301|221302
DOL,CEO-ILAB,1,219045
OPM,Human Resources,1,220352
USDA,"Research, Education and Economics; Farm Production and Conservation",1,220762
EAC,Clearinghouse Division,1,221258
EAC,Grants Division,1,221259
EAC,All EAC divisions where staff elect to use approved tools,1,221260
EAC,All EAC Divisions,1,221261
FCC,Enforcement Bureau (EB),1,221267
FCC,Wireline Competition Bureau (WCB),1,221269
FCC,Office of Engineering and Technology (OET),1,221270
PBGC,OMA/Procurement Dept.,1,221285
PBGC,OGC/GLOD,1,221287
PBGC,OMA / QMD / LDD,1,221288
PBGC,Enterprise,1,221289
PBGC,OCFO,1,221291
PBGC,ITIOD - Security Operations,1,221292
PBGC,OIT/Privacy,1,221293
PBGC,ITIOD/Enterprise,1,221294
PBGC,PBGC Enterprise,1,221295
PBGC,OPEA / PRAD,1,221296
PBGC,OPEA / COLAD,1,221297
PBGC,OBA,1,221298
PBGC,OMA/HRD,1,221299
PBGC,ITIOD/OGC Privacy,1,221300
