2_use_case_name,3_agency,3_abr,4_bureau,8_topic_area,8_question_type,10_commercial_ai,11_purpose_benefits,12_outputs,16_dev_stage,17_impact_type,18_date_initiated,19_date_acq_dev_began,20_date_implemented,21_date_retired,22_dev_method,23_contract_piids,24_hisp_support,25_hisp_name,26_public_service,27_public_info,28_iqa_compliance,29_contains_pii,30_saop_review,31_data_catalog,31_question_type,33_agency_data,34_data_docs,35_demo_features,35_question_type,37_custom_code,38_code_access,39_code_link,40_has_ato,41_system_name,42_dev_tools_wait,43_infra_provisioned,43_question_type,45_compute_request,45_question_type,47_timely_resources,47_question_type,49_existing_reuse,50_internal_review,51_extension_request,52_impact_assessment,53_real_world_testing,54_key_risks,55_independent_eval,56_monitor_postdeploy,57_autonomous_impact,57_question_type,59_ai_notice,59_question_type,61_adverse_impact,62_disparity_mitigation,63_stakeholder_consult,63_question_type,65_appeal_process,66_no_appeal_reason,67_opt_out,67_question_type
Repair Spend,Department of Agriculture,USDA,ARS: Agricultural Research Service,Mission-Enabling,,None of the above.,"The intended purpose of this model is to review financial documents and then classify each expense as money spent on ""facility repairs"" or ""not facility repairs"". The expected benefits include reduction of manual hours identifying the types of transactions.","The output of the model is a recommendation of which financial transactions should be identified as ""repair"" expenses.",Operation and Maintenance,Neither,10/1/2019,10/1/2019,6/9/2020,,Developed with both contracting and in-house resources.,Developed by REE-Analytics within EDAPT to refresh Impala tables and visualized on the Tableau Server,No,,,No,,No,No,Yes,,"Approximately 14,000 financial transactions were used to train the model and finetune its parameters. Approximately 3,500 financial transactions were used to test the performance of the final model.","Documentation is widely available: Documentation is not only complete, but is widely accessible within the agency, and has an owner and a regular update cadence.",,,Yes,"Yes – agency has access to source code, but it is not public.",,Yes,"Enterprise Data Analytics Platform & Toolset (EDAPT, Impala, Tableau)",Less than 6 months,Yes,,Yes,,Yes,,None: This use case does not re-use any internally developed tooling or managed infrastructure from any other AI development efforts within the agency.,Documentation has been published: Complete documentation has been published to a repository or data catalog within the agency and is made accessible to other data science teams for review and feedback.,No – Agency did not request an extension for this use case.,,,,,,,,,,,,,,,,,
ARS Project Mapping,Department of Agriculture,USDA,ARS: Agricultural Research Service,Science & Space,,None of the above.,"The intended purpose of this model is to process research plans from various research program portfolios in the Agricultural Research Service (ARS) to find patterns and opportunities between projects. The expected benefits include decreasing the time that humans would spend to manually read, pull out key terms, and group the projects by topic. The model may also find patterns that a human might miss.","The model outputs groups of similar projects and project terms. The output includes metrics (silhouette scores, term rank, importance scores) that show how well the projects and terms in a group match.",Operation and Maintenance,Neither,1/1/2020,1/1/2021,5/1/2022,,Developed with contracting resources.,1232SA21F0067,No,,,No,,No,No,Yes,,"The data is a collection of project plans written by scientists, roughly 600 text documents. The texts are related to publicly available 5-year action plans. ","Documentation has been partially completed: Some documentation exists (detailing the composition and any statistical bias or measurement skew for training and evaluation purposes), but documentation took place within this use case’s development.",,,Yes,"Yes – agency has access to source code, but it is not public.",,Yes,Enterprise Data Analytics Platform & Toolset (EDAPT),Less than 6 months,Yes,,No,,Yes,,None: This use case does not re-use any internally developed tooling or managed infrastructure from any other AI development efforts within the agency.,Limited documentation for review: Some information regarding the model’s performance on specific benchmarks are available or have been shared with specific stakeholders within the agency.,No – Agency did not request an extension for this use case.,,,,,,,,,,,,,,,,,
NAL Automated Indexing,Department of Agriculture,USDA,ARS: Agricultural Research Service,Science & Space,,None of the above.,This system automatically assigns word tags to agricultural research articles from a controlled list of terms provided by the National Agricultural Library Thesaurus (NALT). The tags can be used to look up and retrieve articles. Using these tags benefits users by making it easier to find the content they are looking for.,The model outputs terms to use as search tags that are specific to the article that the model analyzed.,Operation and Maintenance,Neither,6/1/2011,1/1/2012,6/1/2012,,Developed with both contracting and in-house resources.,1232SSA1C0014,No,,,Yes,,No,No,Yes,,The data is a collection of text scripts from publishers that have undergone quality assurance and quality control processing.,"Documentation is missing or not available: No documentation exists regarding maintenance, composition, quality, or intended use of the training and evaluation data.",,,Yes,"Yes – agency has access to source code, but it is not public.",,No,,Less than 6 months,Yes,,No,,,,Use of existing data platforms: This use case is being developed on existing enterprise data and analytics platforms within the agency rather than procuring additional platforms or SaaS to operate.,"Documentation has been developed: Complete documentation detailing model performance across a range of benchmarks, architecture, relevant features and information regarding the appropriate use of the model for predictive tasks has been created.",No – Agency did not request an extension for this use case.,,,,,,,,,,,,,,,,,
Predictive Modeling of Invasive Pest Species,Department of Agriculture,USDA,APHIS: Animal and Plant Health Inspection Service,Mission-Enabling,,None of the above.,"The purpose of the model is to check how likely it is for imported agricultural products from other countries to have pests. Benefits include more reliable discovery and quarantine of invasive pests, preventing pest invasion and making trade safer.",The model outputs are a prediction of whether a product carries an invasive species and what invasive species category the pest belongs to.,Operation and Maintenance,Neither,7/1/2015,7/1/2015,5/1/2018,,Developed in-house.,,No,,,No,,No,No,Yes,,Inspection data was collected from Plant Protection and Quarantine (PPQ) and Customs and Border Protection (CBP). Quality control of the data was conducted by data analysts. There was no data augmention performed. The data is structured and has several million records with more than 50 numerical and categorical variables. This data is not publicly available. ,"Documentation has been partially completed: Some documentation exists (detailing the composition and any statistical bias or measurement skew for training and evaluation purposes), but documentation took place within this use case’s development.",,,Yes,"Yes – agency has access to source code, but it is not public.",,No,,Less than 6 months,Other,Not sure,Other,Not sure,Other,Not sure,None: This use case does not re-use any internally developed tooling or managed infrastructure from any other AI development efforts within the agency.,Limited documentation for review: Some information regarding the model’s performance on specific benchmarks are available or have been shared with specific stakeholders within the agency.,No – Agency did not request an extension for this use case.,,,,,,,,,,,,,,,,,
Detection of Pre-symptomatic HLB Infected Citrus,Department of Agriculture,USDA,APHIS: Animal and Plant Health Inspection Service,Science & Space,,None of the above.,The purpose of the model is to detect citrus trees infected with Huanglongbing (HLB) disease using images collected by a camera sensor on a small drone. This system would decrease time and cost associated with manual searching for HLB infected trees.,The model outputs GPS Coordinates of potential Huanglongbing (HLB) infected areas.,Retired,Neither,,,,9/30/2022,,,,,,,,,No,Yes,,,,,,,,,,,,,,,,,,,,No – Agency did not request an extension for this use case.,,,,,,,,,,,,,,,,,
High Throughput Phenotyping in Citrus Orchards,Department of Agriculture,USDA,APHIS: Animal and Plant Health Inspection Service,Science & Space,,None of the above.,"The main purpose of this system is to analyze drone images to locate, count, and categorize citrus trees in an orchard to monitor orchard health. This use case saves thousands of man-hours searching for signs of plant damage and disease in orchards.",The model output flags images containing plant damage or disease.,Retired,Neither,,,,9/30/2022,,,,,,,,,No,Yes,,,,,,,,,,,,,,,,,,,,No – Agency did not request an extension for this use case.,,,,,,,,,,,,,,,,,
Detection of Aquatic Weeds,Department of Agriculture,USDA,APHIS: Animal and Plant Health Inspection Service,Science & Space,,None of the above.,The purpose of this system is to locate and identify aquatic weed species using images from drones. Expected benefits include decreasing time that would have been spent manually reviewing the images.,The model outputs the aquatic weed species contained in the image.,Retired,Neither,,,,9/30/2022,,,,,,,,,No,Yes,,,,,,,,,,,,,,,,,,,,No – Agency did not request an extension for this use case.,,,,,,,,,,,,,,,,,
Automated Detection & Mapping of Host Plants from Ground Level Imagery,Department of Agriculture,USDA,APHIS: Animal and Plant Health Inspection Service,Science & Space,,None of the above.,This system generates maps of specific tree species from ground-level (streetview) images. Expected benefits are decreased time and cost associated with manual collection of the data.,The model outputs GPS coordinates of flagged locations.,Retired,Neither,,,,9/30/2022,,,,,,,,,No,Yes,,,,,,,,,,,,,,,,,,,,No – Agency did not request an extension for this use case.,,,,,,,,,,,,,,,,,
Democratizing Data,Department of Agriculture,USDA,NASS: National Agricultural Statistics Service,Mission-Enabling,,None of the above.,"This system scans collections of published documents to find how publicly-funded data and evidence are used to serve science and society. This helps the National Agricultural Statistics Service and the Economic Research Service understand who is using their data and why. This improves customer service, helps evaluate programs, and answers important questions for planning and learning.",The model outputs text containing the identified dataset reference information.,Operation and Maintenance,Neither,3/8/2021,6/3/2021,7/30/2021,,Developed with contracting resources.,58-3AEU-3-0003,No,,,Yes,,No,No,Yes,,The model is trained on publicly available peer reviewed research (text data) and known usages of datasets.,"Documentation is complete: Documentation exists regarding the maintenance, composition, quality, and intended use of the training and evaluation data, as well as any statistical bias across model features and protected groups. ",,,Yes,Yes – source code is publicly available.,https://github.com/democratizingdata/democratizingdata-ml-algorithms,No,,Less than 6 months,No,,Other,This was a cooperative agreement on all publicly available data.  No Federal machines were used to work with the model.  ,Yes,,None: This use case does not re-use any internally developed tooling or managed infrastructure from any other AI development efforts within the agency.,"Documentation has been developed: Complete documentation detailing model performance across a range of benchmarks, architecture, relevant features and information regarding the appropriate use of the model for predictive tasks has been created.",No – Agency did not request an extension for this use case.,,,,,,,,,,,,,,,,,
Land Change Analysis Tool (LCAT),Department of Agriculture,USDA,FPAC-BC: FPAC Business Center,Mission-Enabling,,None of the above.,"The Land Change Analysis Tool (LCAT) creates high resolution maps to help make land use decisions. For example, it has been used to monitor eastern redcedar for about 40 years in South Dakota and to support wildlife hazard assessments at airports with various organizations. This tool reduced the labor hours needed by the Farm Service Agency (FSA) to review land data accuracy in Georgia by 100 times.",The model outputs land cover maps.,Implementation and Assessment,Neither,10/1/2018,10/1/2018,,,Developed in-house.,,No,,,Yes,,No,No,Yes,,"The dataset is created from the National Agriculture Imagery Program, which contains images of land taken from aircrafts.","Documentation has been partially completed: Some documentation exists (detailing the composition and any statistical bias or measurement skew for training and evaluation purposes), but documentation took place within this use case’s development.",,,Yes,"Yes – agency has access to source code, but it is not public.",,No,,6-12 months,Yes,,No,,No,,None: This use case does not re-use any internally developed tooling or managed infrastructure from any other AI development efforts within the agency.,Limited documentation for review: Some information regarding the model’s performance on specific benchmarks are available or have been shared with specific stakeholders within the agency.,No – Agency did not request an extension for this use case.,,,,,,,,,,,,,,,,,
