"SECTION 1: Use Case Identifiers
Complete this Section for the following Use Cases: Retired,  Pre-deployment, Pilot, and Deployed",,,,,,,,"SECTION 2: Use Case Summary
Complete this Section for the following Use Cases: Pre-deployment, Pilot, and Deployed",,,,,"SECTION 3: Documentation
Complete this Section for the following Use Cases: Pilot, and Deployed

",,,,,"SECTION 4: Data & Code
Complete this Section for the following Use Cases: Pilot, and Deployed",,,,,,,"
SECTION 5: Risk Management 
Complete this Section for the following Use Case: Deployed and if ""HIGH-IMPACT"" from SECTION 1

",,,,,,,,,,,,,,,,,,
"Use Case ID

[Agency Abbrev.] – [#] ",Use Case Name,Bureau/Component,Email Address,Should this AI use case be withheld from public reporting?,Stage of Development,Is the AI use case high-impact?,Justification,Use Case Topic Area,AI Classification,What problem is the AI intended to solve?,What are the expected benefits and positive outcomes from the AI for an agency’s mission and/or the general public?,Describe the AI system’s outputs.,Date when AI use case became operational or the pilot’s start date,Was the system involved in this use case purchased from a vendor or developed under contract(s) or in-house?,Vendor(s) Name,Does this AI use case have an associated Authorization to Operate (ATO)?,System(s) Name,"Describe any data used to  train, fine-tune, and/or  evaluate performance of the  model(s) used in this use  case.","If the data is required to be  publicly disclosed as an  open government data asset,  provide a link to the entry on the Federal Data Catalog.",Does this AI use case  involve personally  identifiable information (PII)  that is maintained by the  agency?,"If publicly available, provide  the link to the AI use case’s associated Privacy Impact Assessment (PIA).","Which, if any, demographic  variables does the AI use  case explicitly use as model  features?",Does this project include  custom-developed code?,"If the code is open source, provide the link for the  publicly available source  code.","Has pre-deployment testing been conducted for this AI  use case? 




Practice: Complete AI Impact Assessment","Has an AI impact assessment been completed for this AI use case? 



Practice: Complete AI Impact Assessment","What are the potential  impacts of using the AI for  this particular use case and  how were they identified?    



Subpractice: Complete AI  Impact Assessment","Has as independent review  of the AI use case been  conducted?    




Sub practice Complete AI  Impact Assessment","Is there a process to conduct
ongoing monitoring to
identify any adverse impacts
to the performance and
security of the AI functionality, as well as to privacy, civil rights, and civil liberties?

Practice: Conduct Ongoing Monitoring for Performance and Potential Adverse Impacts","Has the agency established sufficient and periodic  training for operators of the  AI to interpret and act on the  its output and managed associated risks?


Practice: Ensure Adequate Human Training and Assessment","Does this AI use case have an appropriate fail-safe that minimizes the risk of significant harm?





Practice: Provide Additional Human Oversight, Intervention, and Accountability","Is there an established appeal process in the event that an impacted individual would like to appeal or  contest the AI system’s  outcome?


Practice: Offer Consistent Remedies or Appeals","What steps has the agency taken to consult and incorporate feedback from end users of this AI use case and the public?




Practice: Consult and Incorporate Feedback from End Users and the Public",,,,,,,,,,
25,Streamflow Duration Assessment Modeling,OW,CAIO@epa.gov,No,c)  Deployed – The use case is being actively authorized or utilized to support the functions or mission of an agency.,c) Not high-impact,"The output of this AI use case does not serve as a principal basis for decisions or actions that have a legal, material, binding, or significant effect on rights or safety.",Science,Classical/Predictive Machine Learning,Improved streamflow classification,"Because streamflow duration classes is unknown for most streams across the nation, the classifications from Streamflow Duration Assessment Methods (SDAMs) can inform ecological assessments and resource management decisions, such as setting restoration goals or applying appropriate water quality standards. SDAMs also support identifying waters that may be subject to regulatory jurisdiction under the Clean Water Act or other authorities.","Prediction of whether a streamflow is “perennial,” “intermittent,” or “ephemeral”",11/15/2011 00:00:00,b) Developed in-house,,Yes,Posit Connect (DMAP),"Most of the data used to train and evaluate performance of the model was collected by EPA or contractors specifically for the development of SDAMs. The data can be found here: 
-	PNW https://www.hydroshare.org/resource/fb4e7b8758d0478cbfe0d6c786f0f968/
-	NE and SE https://catalog.data.gov/dataset/nese-betasdam-final-data-and-code
-	AW https://catalog.data.gov/dataset/aw-betasdam-final-data-and-code
-	WM https://catalog.data.gov/dataset/wm-betasdam-final-data-and-code
-	GP https://catalog.data.gov/dataset/gp-betasdam-final-data-and-code","The data can be found here:  -	PNW https://www.hydroshare.org/resource/fb4e7b8758d0478cbfe0d6c786f0f968/ -	NE and SE https://catalog.data.gov/dataset/nese-betasdam-final-data-and-code -	AW https://catalog.data.gov/dataset/aw-betasdam-final-data-and-code -	WM https://catalog.data.gov/dataset/wm-betasdam-final-data-and-code -	GP https://catalog.data.gov/dataset/gp-betasdam-final-data-and-code",No,,"[""None of the above""]",Yes,https://github.com/USEPA/SDAM-web-app,,,,,,,,,,,,,,,,,,,
27,AI Assistants in Esri Tools,OFA,CAIO@epa.gov,No,b)  b)  Pilot – The use case has been deployed in a limited test or pilot capacity.,c) Not high-impact,"The output of this AI use case does not serve as a principal basis for decisions or actions that have a legal, material, binding, or significant effect on rights or safety.",This potentially crosses all EPA business lines,Generative AI,This would help people use Esri software do more complex analysis in a shorter time and more easily. ,This would save staff time and allow for more complex data analysis and visualization that would assist with making better environmental decisions. ,"code, analysis, suggested tool use",09/01/2025 00:00:00,c) Developed with both contracting and in-house resources,ESRI,Yes,GeoPlatform,unknown - vendor supplied,,No,,"[""None of the above""]",No,,,,,,,,,,,,,,,,,,,,
29,Preparation of Brownfields Success Stories,Region 1,CAIO@epa.gov,No,b)  Pilot – The use case has been deployed in a limited test or pilot capacity.,c) Not high-impact,"The output of this AI use case does not serve as a principal basis for decisions or actions that have a legal, material, binding, or significant effect on rights or safety.",Administrative Functions,Generative AI,"Preparing draft Brownfields success stories involves compiling and summarizing extensive data from technical reports about site history and environmental assessment/cleanup ads well as financial information about cleanup costs, grant funds, leveraged public/private investment, and jobs leveraged. this information comes from many different sources and can be much more quickly collected and compiled by using AI.","By leveraging AI to do the heavy lifting of collecting and compiling the data, we can focus our efforts more on the narrative aspect of the success stories and shorten the overall amount of time it takes to prepare stories and publish them on our website, where they can provide inspiration and ideas to other communities who may be struggling with brownfield-related challenges of their own.","First draft of text for a Brownfields success story ultimately intended for public viewing on our regional Brownfields program web page. Prompt engineering includes specified format, word count, reading level, writing style, and other parameters to ensure consistency and quality.",08/15/2025 00:00:00,b) Developed in-house,Azure OpenAI,Yes,AI-Work,public data from EPA's Assessment Cleanup and Redevelopment Exchange System (ACRES),https://catalog.data.gov/dataset/acres-brownfields-properties,No,,"[""None of the above""]",No,N/A,,,,,,,,,,,,,,,,,,,
34,SF182 Form and Policy Assistant,OFA,CAIO@epa.gov,No,b)  Pilot – The use case has been deployed in a limited test or pilot capacity.,c) Not high-impact,"The output of this AI use case does not serve as a principal basis for decisions or actions that have a legal, material, binding, or significant effect on rights or safety.",Human Resources,Natural Language Processing (NLP),This AI feature will solve the problem of the substantial confusion and miscommunication involved in submitting SF182 Training Requests.,"Significant reduction in FAQs, emails, messages, SF182 discrepancies, employee frustration, costs associated with improper SF182 routing and training cancellations. ","The AI tool provides recommendations. These are recommendations on how to fill out the SF182, what fields need to be filled out based on other variables associated with the training request, and policy-driven responses that are not intuitive or easy to comprehend from the end-user's perspective. ",08/01/2024 00:00:00,b) Developed in-house,,No,,"The data used to train the model is our internal SF182 SOPs (institutional knowledge) and the EPA's training policy manual, primarily.","I do not believe this is publically available, but it's likely due to a public's lack of interest; there is nothing in our policy manual that should be safeguarded.",No,,"[""None of the above""]",No,,,,,,,,,,,,,,,,,,,,
35,Microsoft Power Automate (custom document processing model),OFA,CAIO@epa.gov,No,c)  Deployed – The use case is being actively authorized or utilized to support the functions or mission of an agency.,c) Not high-impact,"The output of this AI use case does not serve as a principal basis for decisions or actions that have a legal, material, binding, or significant effect on rights or safety.",Administrative Functions,Classical/Predictive Machine Learning,Saving time and money by extracting only useful information from lengthy utility bills and putting it into an easy to read format automatically.,Cost savings and reduced man hours.,AI extracts relevant data from lengthy documents.,09/01/2025 00:00:00,b) Developed in-house,Microsoft,Yes,Microsoft  Office 365,RTP utility bills,,No,,"[""None of the above""]",No,,,,,,,,,,,,,,,,,,,,
39,Helpdesk chat assistant for common data system tasks,OFA,CAIO@epa.gov,No,c)  Deployed – The use case is being actively authorized or utilized to support the functions or mission of an agency.,c) Not high-impact,"The output of this AI use case does not serve as a principal basis for decisions or actions that have a legal, material, binding, or significant effect on rights or safety.",Information Technology,Classical/Predictive Machine Learning,"The Chat Bot implementation increases Help Desk tier 0 resolution, resulting in higher customer satisfaction and better use of Help Desk resources.  ",Improving customer wait time.  Increasing Helpdesk agents' availability to resolve more complex IT incidents.,IT solutions recommendations,09/12/2025 00:00:00,c) Developed with both contracting and in-house resources,ServiceNow,Yes,ServiceNow,"ServiceNow Knowledge articles, incident ticket notes",,No,,"[""None of the above""]",No,,,,,,,,,,,,,,,,,,,,
43,FFEO TSCA investigation into privatized military housing property management companies,OECA,CAIO@epa.gov,b) Yes – agency has determined that there’s a risk to disclosure such as a harm to an interest protected by a FOIA exemption,a) a) Pre-deployment – The use case is in a development or acquisition status.,a) High-impact,,Law Enforcement,Classical/Predictive Machine Learning,"1)	Reviewing spreadsheets or documents for TSCA Renovation, Repair, and Painting work descriptions 
2)	Reviewing documents containing leases for Lead Disclosure Rule violations
3)	Reviewing pictures and video for TSCA Renovation, Repair, and Painting work descriptions
4)	Drafting enforcement actions with the understanding that the final determination of compliance and enforcement actions is inherently a government function. 
",Makes FFEOs law enforcement processes and functions more efficient.,Synthesize information/data gleaned from subpoenaed records pertaining to disclosure and renovation work involving lead-based-paint more efficiently.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,Briefcam,OECA,CAIO@epa.gov,b) Yes – agency has determined that there’s a risk to disclosure such as a harm to an interest protected by a FOIA exemption,b)  Pilot – The use case has been deployed in a limited test or pilot capacity.,b) Presumed high-impact but determined not high-impact,,Law Enforcement,Computer Vision - AI that processes and interprets visual data (e.g.; images and videos).,Speed the review and improve the accuracy of captured surveillance footage.,This product will help increase case investigation speed by greatly reducing the amount of time Special Agents spend reviewing video footage.,Briefcam produces a summary video containing bookmarked images to the surveillance footage location the event is identified from.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,RelativityOne Gov aiR,OFA,CAIO@epa.gov,No,a) Pre-deployment – The use case is in a development or acquisition status.,c) Not high-impact,"The output of this AI use case does not serve as a principal basis for decisions or actions that have a legal, material, binding, or significant effect on rights or safety.",eDiscovery matters,Generative AI,"aiR for Review is designed to perform an initial first-pass review in legal case or other document review, such as a FOIA matter. Relativity's ""aiR for Review"" identifies potentially relevant documents, describes why they are relevant using natural language, and demonstrates this relevance using citations from the document. ","aiR for Review can improve efficiency in document reviews, potentially enabling the Agency to more quickly and efficiently respond to FOIA and other eDiscovery requests. ","Relativity's ""aiR for Review"" identifies potentially relevant documents, describes why they are relevant using natural language, and demonstrates this relevance using citations from the document. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
